_id,ประเภท,พื้นที่ป่าอนุรักษ์,ครอบคลุมพื้นที่,จำนวน (ตัว)
1,อุทยานแห่งชาติ,เขาชะเมา-เขาวง,อำเภอแก่งหางแมว จังหวัดจันทบุรี/ อำเภอแกลง อำเภอเขาชะเมา อำเภอวังจันทร์ จังหวัดระยอง,355.0
2,เขตรักษาพันธุ์สัตว์ป่า,เขาอ่างฤๅไน,อำเภอกบินทร์บุรี อำเภอศรีมหาโพธิ์ จังหวัดปราจีนบุรี/ อำเภอเกาะจันทร์ อำเภอบ่อทอง อำเภอหนองใหญ่ จังหวัดชลบุรี/ อำเภอแก่งหางแมว จังหวัดจันทบุรี/ อำเภอเขาฉกรรจ์ อำเภอเมืองสระแก้ว อำเภอวังน้ำเย็น อำเภอวังสมบูรณ์ จังหวัดสระแก้ว/ อำเภอเขาชะเมา จังหวัดระยอง/ อำเภอท่าตะเกียบ อำเภอแปลงยาว อำเภอพนมสารคาม อำเภอสนามชัยเขต จังหวัดฉะเชิงเทรา,
3,อุทยานแห่งชาติ,เขาคิชฌกูฎ,อำเภอเขาคิชฌกูฏ อำเภอท่าใหม่ อำเภอมะขาม อำเภอเมืองจันทบุรี จังหวัดจันทบุรี,39.0
4,อุทยานแห่งชาติ,เขาสิบห้าชั้น,อำเภอแก่งหางแมว จังหวัดจันทบุรี,40.0
5,เขตรักษาพันธุ์สัตว์ป่า,เขาสอยดาว,อำเภอโป่งน้ำร้อน อำเภอมะขาม อำเภอสอยดาว จังหวัดจันทบุรี,100.0
6,อุทยานแห่งชาติ,น้ำตกคลองแก้ว,อำเภอขลุง จังหวัดจันทบุรี/ อำเภอเขาสมิง อำเภอบ่อไร่ อำเภอเมืองตราด จังหวัดตราด,58.0
7,เขตรักษาพันธุ์สัตว์ป่า,คลองเครือหวายเฉลิมพระเกียรติ,อำเภอขลุง อำเภอท่าใหม่ อำเภอโป่งน้ำร้อน อำเภอมะขาม อำเภอเมืองจันทบุรี จังหวัดจันทบุรี/ อำเภอเขาสมิง อำเภอบ่อไร่ อำเภอเมืองตราด จังหวัดตราด,
8,อุทยานแห่งชาติ,เฉลิมรัตนโกสินทร์,อำเภอศรีสวัสดิ์ อำเภอหนองปรือ จังหวัดกาญจนบุรี,72-82
9,อุทยานแห่งชาติ,เขาแหลม,อำเภอทองผาภูมิ จังหวัดกาญจนบุรี,
10,อุทยานแห่งชาติ,ไทรโยค,อำเภอไทรโยค จังหวัดกาญจนบุรี,
