_id,พื้นที่รับผิดชอบ,สถานะ,วันที่,เพศ,กลุ่มป่า,พื้นที่,หมู่บ้าน,หมู่ที่,ตำบล,อำเภอ,จังหวัด,หมายเหตุ
1,เขตรักษาพันธุ์สัตว์ป่าเขาอ่างฤาไน,เสียชีวิต,2023-10-07 00:00:00,หญิง,ตะวันออก,สวนยางพารา,คลองตะเคียน,3,คลองพลู,หนองใหญ่,ชลบุรี,
2,เขตรักษาพันธุ์สัตว์ป่าดงใหญ่,เสียชีวิต,2023-10-05 00:00:00,ชาย,ดงพญาเย็น-เขาใหญ่,ป่าด้านทิศตะวันออกเขากระเจียว,หนองบอน,8,ลำนางรอง,โนนดินแดง,บุรีรัมย์,
3,อุทยานแห่งชาติแก่งกรุง,เสียชีวิต,2023-10-22 00:00:00,ชาย,คลองแสง-เขาสก,สวนปาล์ม,ทับสมิงคลา,11,คลองพา,ท่าชนะ,สุราษฎร์ธานี,
4,เขตรักษาพันธุ์สัตว์ป่าเขาอ่างฤาไน,เสียชีวิต,2023-10-30 00:00:00,ชาย,ตะวันออก,,บ้านท่าตาสี,3,หลังใน,วังน้ำเย็น,สระแก้ว,
5,เขตรักษาพันธุ์สัตว์ป่าสลักพระ,เสียชีวิต,2023-10-31 00:00:00,ชาย,ตะวันตก,บริเวณป่าหนองข่อย,,5,ท่ากระดาน,ศรีสวัสดิ์,กาญจนบุรี,
6,เขตรักษาพันธุ์สัตว์ป่าดงใหญ่,เสียชีวิต,2023-11-02 00:00:00,ชาย,ดงพญาเย็น-เขาใหญ่,,บ้านหนองบอน,,ลำนางรอง,โนนดินแดง,บุรีรัมย์,
7,อุทยานแห่งชาติทับลาน,เสียชีวิต,28 พฤษจิกายน 2566,ชาย,ดงพญาเย็น-เขาใหญ่,ในหมู่บ้าน,สันติสุข,10,สระตะเคียน,เสิงสาง,นครราชสีมา,
8,เขตรักษาพันธุ์สัตว์ป่าเขาอ่างฤาไน,เสียชีวิต,3 ธันวาคม 2566,ชาย,ตะวันออก,,มาบยาง,6,หนองใหญ่,หนองใหญ่,ชลบุรี,
9,เขตรักษาพันธุ์สัตว์ป่าภูค้อ-ภูกระแต,เสียชีวิต,4 ธันวาคม 2566,ชาย,ภูเขียว-น้ำหนาว,,,,ห้วยส้ม,ภูกระดึง,เลย,
10,เขตรักษาพันธุ์สัตว์ป่าเขาอ่างฤาไน,เสียชีวิต,23 ธันวาคม 2566,หญิง,ตะวันออก,สวนยางพารา,,3,คลองพลู,หนองใหญ่,ชลบุรี,
11,อุทยานแห่งชาติแก่งกระจาน,เสียชีวิต,11 พฤศจิกายน 2566,ชาย,แก่งกระจาน,,,,ป่าเด็ง,แก่งกระจาน,เพชรบุรี,
12,เขตรักษาพันธุ์สัตว์ป่าเขาสอยดาว,เสียชีวิต,5 มกราคม 2567,หญิง,ตะวันออก,วิสาหกิจยางไทย,,1,ทับไทร,โป่งน้ำร้อน,จันทบุรี,ชาวกัมพูชา
13,อุทยานแห่งชาติทองผาภูมิ,เสียชีวิต,5 มกราคม 2567,ชาย,ตะวันตก,,,5,ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,ไม่มีสัญชาติ
