_id,พื้นที่รับผิดชอบ,สถานะ,วันที่,เพศ,กลุ่มป่า,พื้นที่,หมู่บ้าน,หมู่ที่,ตำบล,อำเภอ,จังหวัด
1,เขตรักษาพันธุ์สัตว์ป่าเขาอ่างฤาไน,บาดเจ็บ,2023-06-10T00:00:00,ชาย,ตะวันออก,ถนนหลวงหมายเลข 359,หนองสะแก,6,เขาไม้แก้ว,กบินทร์บุรี,ปราจีนบุรี
2,เขตรักษาพันธุ์สัตว์ป่าเขาอ่างฤาไน,บาดเจ็บ,2023-06-10T00:00:00,ชาย,ตะวันออก,ถนนหลวงหมายเลข 359,หนองสะแก,6,เขาไม้แก้ว,กบินทร์บุรี,ปราจีนบุรี
3,เขตรักษาพันธุ์สัตว์ป่าเขาอ่างฤาไน,บาดเจ็บ,2023-06-10T00:00:00,หญิง,ตะวันออก,ถนนหลวงหมายเลข 359,หนองสะแก,6,เขาไม้แก้ว,กบินทร์บุรี,ปราจีนบุรี
4,เขตรักษาพันธุ์สัตว์ป่าเขาอ่างฤาไน,บาดเจ็บ,2023-10-10T00:00:00,ชาย,ตะวันออก,ป่าเขาน้อย,หนองกระทิง,,ท่ากระดาน,สนามชัยเขต,ฉะเชิงเทรา
5,เขตรักษาพันธุ์สัตว์ป่าเขาอ่างฤาไน,บาดเจ็บ,2023-10-10T00:00:00,ชาย,ตะวันออก,ป่าเขาน้อย,หนองกระทิง,,ท่ากระดาน,สนามชัยเขต,ฉะเชิงเทรา
6,เขตรักษาพันธุ์สัตว์ป่าเขาอ่างฤาไน,บาดเจ็บ,2023-10-13T00:00:00,ชาย,ตะวันออก,,,10,ทุ่งพระยา,สนามชัยเขต,ฉะเชิงเทรา
7,เขตรักษาพันธุ์สัตว์ป่าเขาอ่างฤาไน,บาดเจ็บ,2023-10-28T00:00:00,ชาย,ตะวันออก,นาข้าว,,,ท่ากระดาน,สนามชัยเขต,ฉะเชิงเทรา
8,เขตรักษาพันธุ์สัตว์ป่าเขาอ่างฤาไน,บาดเจ็บ,2023-10-31T00:00:00,ชาย,ตะวันออก,ไร่มันสำปะหลัง,อ่างเสือดำ,,ท่าตะเกียบ,ท่าตะเกียบ,ฉะเชิงเทรา
9,เขตรักษาพันธุ์สัตว์ป่าเขาอ่างฤาไน,บาดเจ็บ,2023-09-11T00:00:00,ชาย,ตะวันออก,คุ้มบานเย็น,นางาม,19,ท่ากระดาน,สนามชัยเขต,ฉะเชิงเทรา
10,อุทยานแห่งชาติทับลาน,บาดเจ็บ,2023-11-11T00:00:00,ชาย,ดงพญาเย็น-เขาใหญ่,แปลงปลูกยูคาลิปตัส,ทับไทร,1,แก่งดินสอ,นาดี,ปราจีนบุรี
