_id,หน่วยงาน,กลุ่มป่า,ชื่อเครือข่าย,หมู่บ้าน,หมู่ที่,ตำบล,อำเภอ,จังหวัด,จำนวนสมาชิก
1,อช.เขาใหญ่,กลุ่มป่าดงพญาเย็น-เขาใหญ่,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ บ้านโป่งตาลอง,บ้านโป่งตาลอง,13,โป่งตาลอง,ปากช่อง,นครราชสีมา,28
2,อช.เขาใหญ่,กลุ่มป่าดงพญาเย็น-เขาใหญ่,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ บ้านคลองปลากั้ง,บ้านคลองปลากั้ง,16,วังหมี,วังน้ำเขียว,นครราชสีมา,21
3,อช.เขาใหญ่,กลุ่มป่าดงพญาเย็น-เขาใหญ่,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ บ้านคลองปลากั้ง,บ้านเจ้าคุณ,10,วังหมี,วังน้ำเขียว,นครราชสีมา,
4,อช.เขาใหญ่,กลุ่มป่าดงพญาเย็น-เขาใหญ่,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ บ้านคลองปลากั้ง,บ้านทรัพย์ทวีคูณ,22,วังหมี,วังน้ำเขียว,นครราชสีมา,
5,อช.เขาใหญ่,กลุ่มป่าดงพญาเย็น-เขาใหญ่,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ บ้านดง,บ้านดง,1,สาลิกา,เมืองนครนายก,นครนายก,20
6,อช.เขาใหญ่,กลุ่มป่าดงพญาเย็น-เขาใหญ่,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ บ้านใหม่สามัคคี,บ้านใหม่สามัคคี,2,หมูสี,ปากช่อง,นครราชสีมา,24
7,อช.เขาใหญ่,กลุ่มป่าดงพญาเย็น-เขาใหญ่,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ บ้านสาริกา,บ้านสาริกา,3,สาลิกา,เมืองนครนายก,นครนายก,20
8,อช.ทับลาน,กลุ่มป่าดงพญาเย็น-เขาใหญ่,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ตำบลจระเข้หิน,บ้านจระเข้หิน,1,จระเข้หิน,ครบุรี,นครราชสีมา,20
9,อช.ทับลาน,กลุ่มป่าดงพญาเย็น-เขาใหญ่,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ตำบลอุดมทรัพย์,ซับเต่า,10,อุดมทรัพย์,วังน้ำเขียว,นครราชสีมา,22
10,อช.ทับลาน,กลุ่มป่าดงพญาเย็น-เขาใหญ่,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ตำบลทุ่งโพธิ์,บ้านคลองปลาดุกลาย,6,ทุ่งโพธิ์,นาดี,ปราจีนบุรี,22
11,อช.ทับลาน,กลุ่มป่าดงพญาเย็น-เขาใหญ่,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ตำบลแก่งดินสอ,บ้านทับไทร,1,แก่งดินสอ,นาคี,ปราจีนบุรี,24
12,อช.ทับลาน,กลุ่มป่าดงพญาเย็น-เขาใหญ่,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ตำบลบ้านราษฎร์,ราษร์พัฒนา,6,บ้านราษฎร์,เสียงสาง,นครราชสีมา,22
13,อช.ตาพระยา,กลุ่มป่าดงพญาเย็น-เขาใหญ่,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านผไทรวมพล,บ้านผไทรวมพล,11,หนองแวง,ละหานทราย    ,บุรีรัมย์,28
14,อช.ตาพระยา,กลุ่มป่าดงพญาเย็น-เขาใหญ่,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านราษฎร์รักแดน,บ้านราษฎร์รักแดน,9,หนองแวง   ,ละหานทราย    ,บุรีรัมย์,25
15,อช.ตาพระยา,กลุ่มป่าดงพญาเย็น-เขาใหญ่,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านโคกระเหย,บ้านโคกระเหย,13,ปราสาท,บ้านกรวด,บุรีรัมย์,28
16,อช.ตาพระยา,กลุ่มป่าดงพญาเย็น-เขาใหญ่,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านใหม่ไทยถาวร,บ้านใหม่ไทยถาวร,5,ทัพราช,ตาพระยา,สระแก้ว,31
17,อช.ตาพระยา,กลุ่มป่าดงพญาเย็น-เขาใหญ่,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านซับคนิง,บ้านซับคนิง,12,โนนดินแดง,โนนดินแดง   ,บุรีรัมย์,63
18,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านเขากล้วยไม้-ห้วยนา-ร่มโพธิ์ทอง,บ้านเขากล้วยไม้ ,14,คลองตะเกรา ,ท่าตะเกียบ ,ฉะเชิงเทรา,23
19,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านท่ามะนาว-หัวฝาย-สามพราน-เทพประทาน-ห้วยตะปอก-คลองตะเคียน,บ้านท่ามะนาว ,23,คลองตะเกรา ,ท่าตะเกียบ ,ฉะเชิงเทรา,57
20,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์ บ้านทุ่งส่าย-ศรีเจริญทอง-หนองใหญ่-เทพเจริญ-กรอกสะแก-เขากระดาษ,บ้านทุ่งส่าย ,12,คลองตะเกรา ,ท่าตะเกียบ ,ฉะเชิงเทรา,20
21,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านวังหิน-ห้วยโสม-กระบกคู่,บ้านวังหิน ,4,คลองตะเกรา ,ท่าตะเกียบ ,ฉะเชิงเทรา,47
22,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านเกาะลอย-ทรัพย์เจริญ-เกาะกระทิง-กรอกสะแก-สันติสุข-หนองคอก,บ้านเกาะลอย ,3,คลองตะเกรา ,ท่าตะเกียบ ,ฉะเชิงเทรา,25
23,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านอ่างหิน-หนองขาหยั่ง-ธรรมรัตน์ใน-หนองใหญ่,บ้านอ่างหิน,16,คลองตะเกรา ,ท่าตะเกียบ ,ฉะเชิงเทรา,28
24,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านหินแร่,บ้านหินแร่,7,ท่ากระดาน ,สนามชัยเขต ,ฉะเชิงเทรา,25
25,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านนาโพธิ์,บ้านนาโพธิ์,4,ท่ากระดาน ,สนามชัยเขต ,ฉะเชิงเทรา,30
26,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านทุ่งเหียง,บ้านทุ่งเหียง,18,ท่ากระดาน ,สนามชัยเขต ,ฉะเชิงเทรา,20
27,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านโปร่งเจริญ,บ้านโปร่งเจริญ,12,ท่ากระดาน ,สนามชัยเขต ,ฉะเชิงเทรา,20
28,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านโปร่งเกตุ,บ้านโปร่งเกตุ,10,ท่ากระดาน ,สนามชัยเขต ,ฉะเชิงเทรา,26
29,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านคลองอุดม-คลองยายสร้อย,บ้านคลองอุดม ,4,ทุ่งพระยา ,สนามชัยเขต ,ฉะเชิงเทรา,23
30,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านท่าทองดำ-อ่างตะแบก-ภูเขาทอง-โป่งตาสา,บ้านท่าทองดำ ,6,ทุ่งพระยา ,สนามชัยเขต ,ฉะเชิงเทรา,25
31,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านมาบสมบูรณ์-เขาจันทร์,บ้านมาบสมบูรณ์ ,18,ทุ่งพระยา ,สนามชัยเขต ,ฉะเชิงเทรา,20
32,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านหนองใหญ่-ท่าชีวิต-สันติสุข ,บ้านหนองใหญ่ ,14,ทุ่งพระยา ,สนามชัยเขต ,ฉะเชิงเทรา,24
33,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านท่าชีวิตใหม่-โคกตะเคียนงาม-ทุ่งวัว-วังคู,บ้านท่าชีวิตใหม่,8,ทุ่งพระยา ,สนามชัยเขต ,ฉะเชิงเทรา,22
34,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านท่าซุง-หนองบอน,บ้านท่าซุง ,3,ลาดกระทิง ,สนามชัยเขต ,ฉะเชิงเทรา,20
35,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านกม.7,บ้านกม.7,6,ลาดกระทิง ,สนามชัยเขต ,ฉะเชิงเทรา,23
36,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านสระไม้แดง-ท่าม่วง-โพธิ์งาม,บ้านสระไม้แดง ,5,คู้ยายหมี,สนามชัยเขต ,ฉะเชิงเทรา,20
37,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านหลุมมะขาม-หนองกระทิง,บ้านหลุมมะขาม ,8,หนองไม้แก่น ,แปลงยาว ,ฉะเชิงเทรา,21
38,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านเขาสะท้อน-หนองน้ำขาว,บ้านเขาสะท้อน ,5,หนองไม้แก่น ,แปลงยาว ,ฉะเชิงเทรา,21
39,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านหนองปลาไหล-หนองไทรบน,บ้านหนองปลาไหล ,1,หนองไม้แก่น ,แปลงยาว ,ฉะเชิงเทรา,23
40,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านเขากระถิน,บ้านเขากระถิน,6,ธาตุทอง ,บ่อทอง ,ชลบุรี,24
41,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านคลองใหญ่ (ทับเจ๊ก),บ้านคลองใหญ่ (ทับเจ๊ก),9,บ่อทอง ,บ่อทอง ,ชลบุรี,24
42,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านเขาใหญ่,บ้านเขาใหญ่,4,พลวงทอง ,บ่อทอง ,ชลบุรี,21
43,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านห้างสูง-หนองตะเคียน,บ้านห้างสูง ,5,ห้างสูง ,หนองใหญ่ ,ชลบุรี,20
44,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านเขามดง่าม-คลองพลู,บ้านเขามดง่าม ,4,คลองพลู ,หนองใหญ่ ,ชลบุรี,20
45,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านมะเดื่อ-หนองม่วง,บ้านมะเดื่อ ,2,เขาน้อย ,เขาชะเมา ,ระยอง,20
46,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านยุบตาเหน่ง,บ้านยุบตาเหน่ง,4,ป่ายุบใน,วังจันทร์ ,ระยอง,20
47,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านเขากล้วย,บ้านเขากล้วย,1,พวา ,แก่งหางแมว ,จันทบุรี,26
48,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านเขาฆ้อง,บ้านเขาฆ้อง,5,พวา ,แก่งหางแมว ,จันทบุรี,21
49,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านคลองแดง,บ้านคลองแดง,12,พวา ,แก่งหางแมว ,จันทบุรี,25
50,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านประแกต,บ้านประแกต,3,สามพี่น้อง ,แก่งหางแมว ,จันทบุรี,21
51,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านวังไม้แดงใน,บ้านวังไม้แดงใน,6,สามพี่น้อง ,แก่งหางแมว ,จันทบุรี,20
52,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านคลองชล,บ้านคลองชล,11,วังทอง ,วังสมบูรณ์ ,สระแก้ว,20
53,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านโปร่งศรีเจริญ,บ้านโปร่งศรีเจริญ ,8,เขาไม้แก้ว ,กบินทร์บุรี ,ปราจีนบุรี,20
54,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านโปร่งสะเดา-เขาไม้แก้ว-ขุนด่าน,บ้านโปร่งสะเดา ,6,เขาไม้แก้ว ,กบินทร์บุรี ,ปราจีนบุรี,20
55,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านหนองประดู่,บ้านหนองประดู่,7,เขาไม้แก้ว ,กบินทร์บุรี ,ปราจีนบุรี,20
56,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านวังกวาง,บ้านวังกวาง,11,วังท่าช้าง ,กบินทร์บุรี ,ปราจีนบุรี,23
57,ขสป.เขาอ่างฤาไน,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านโนนสมบูรณ์,บ้านโนนสมบูรณ์,14,วังท่าช้าง ,กบินทร์บุรี ,ปราจีนบุรี,24
58,ขสป.เขาสอยดาว,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านปะตงล่าง,บ้านปะตงล่าง,5,ทรายขาว,สอยดาว     ,จันทบุรี,38
59,ขสป.เขาสอยดาว,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านซับตาพุด,บ้านซับตาพุด,10,ทรายขาว,สอยดาว     ,จันทบุรี,28
60,ขสป.เขาสอยดาว,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านตามูล,บ้านตามูล,1,ทรายขาว,สอยดาว     ,จันทบุรี,24
61,ขสป.เขาสอยดาว,กลุ่มป่าตะวันออก, เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านคลองกระทา, บ้านคลองกระทา,2,ปะตง      ,สอยดาว     ,จันทบุรี,18
62,ขสป.เขาสอยดาว,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านเขาแก้ว,บ้านเขาแก้ว,6,ปะตง      ,สอยดาว     ,จันทบุรี,33
63,ขสป.เขาสอยดาว,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านซอยสุขสันต์,บ้านซอยสุขสันต์,7,ทับช้าง,สอยดาว     ,จันทบุรี,22
64,ขสป.เขาสอยดาว,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านคลองดินดำ,บ้านคลองดินดำ,16,ทับช้าง,สอยดาว     ,จันทบุรี,25
65,ขสป.เขาสอยดาว,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านคลองกลาง,บ้านคลองกลาง,18,ทับช้าง,สอยดาว     ,จันทบุรี,23
66,ขสป.เขาสอยดาว,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านวังกระแพร,บ้านวังกระแพร,2,ทับไทร      ,โป่งน้ำร้อน,จันทบุรี,18
67,ขสป.เขาสอยดาว,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านมาบคล้า,บ้านมาบคล้า,6,ทับไทร      ,โป่งน้ำร้อน,จันทบุรี,43
68,ขสป.เขาสอยดาว,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านซอย 14,บ้านซอย 14,8,ทับไทร      ,โป่งน้ำร้อน,จันทบุรี,60
69,ขสป.เขาสอยดาว,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์บ้านโป่งเก่า,บ้านโป่งเก่า,6,โป่งน้ำร้อน,โป่งน้ำร้อน,จันทบุรี,35
70,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 1 อ่างสีเสียด,บ้านอ่างสีเสียด ,9,ขุนช่อง,แก่งหางแมว,จันทบุรี,20
71,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 1 อ่างสีเสียด,บ้านคลองโป่ง ,10,ขุนช่อง,แก่งหางแมว,จันทบุรี,
72,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 2 บ้านคลองยาง,บ้านคลองยาง,1,ขุนช่อง,แก่งหางแมว,จันทบุรี,20
73,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 2 บ้านคลองยาง,บ้านวังสัมพันธ์ ,11,ขุนช่อง,แก่งหางแมว,จันทบุรี,
74,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 2 บ้านคลองยาง,บ้านคลองยายไท ,18,ขุนช่อง,แก่งหางแมว,จันทบุรี,
75,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 3 บ้านแจง,บ้านสุขใจ ,7,ขุนช่อง,แก่งหางแมว,จันทบุรี,28
76,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 3 บ้านแจง,บ้านคลองพริก,13,ขุนช่อง,แก่งหางแมว,จันทบุรี,
77,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 3 บ้านแจง,บ้านวังแจง,14,ขุนช่อง,แก่งหางแมว,จันทบุรี,
78,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 3 บ้านแจง,บ้านคลองใหม่ ,15,ขุนช่อง,แก่งหางแมว,จันทบุรี,
79,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 4 บ้านขุนช่อง,บ้านขุนซ่อง,2,ขุนช่อง,แก่งหางแมว,จันทบุรี,20
80,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 4 บ้านขุนช่อง,บ้านขุนซ่อง,3,ขุนช่อง,แก่งหางแมว,จันทบุรี,
81,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 4 บ้านขุนช่อง,บ้านหางแมว,4,ขุนช่อง,แก่งหางแมว,จันทบุรี,
82,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 4 บ้านขุนช่อง,บ้านโคกวัด,5,ขุนช่อง,แก่งหางแมว,จันทบุรี,
83,อช.เขาสิบห้าชั้น,กลุ่มป่าตะวันออก,เครือข่ายเฝ้าระวังช้างป่าและสัตว์ป่าออกนอกพื้นที่อนุรักษ์กลุ่มที่ 4 บ้านขุนช่อง,บ้านหนองเตียน,6,ขุนช่อง,แก่งหางแมว,จันทบุรี,
